2026-06-11 09:27:57,709 [INFO] ======================================================================
2026-06-11 09:27:57,709 [INFO] S6r A4 ablation — conds=['C2_A4', 'C3_A4'], K=121, n_trials=100, n_workers=8
2026-06-11 09:27:57,709 [INFO] ======================================================================
2026-06-11 09:27:57,712 [INFO] [c3-check] C3 seed=1000 を A4 分岐追加後 code で実行
2026-06-11 09:29:44,604 [INFO] [c3-check] rt_df: MATCH | lifetimes: MATCH
2026-06-11 09:29:44,604 [INFO] [smoke] C3_A4 seed=1000 K=121 を 1 run
2026-06-11 09:31:17,850 [INFO] [smoke] PASS: runtime=93.1s n_rt=3669 n_sub=58 n_shuffles=12
2026-06-11 09:31:17,851 [INFO] [guard] C3_A4 seed=1000 × 2 runs (K=121)
2026-06-11 09:34:25,767 [INFO] [guard] rt_df: MATCH | lifetimes: MATCH
2026-06-11 09:34:25,768 [INFO] [parallel] cond=C2_A4 n_seeds=100 n_workers=8 out=/Users/hasegawayuito/Documents/GitHub/speculation-game-info/experiments/YH006_1/data/C2_A4
2026-06-11 09:53:47,990 [INFO] [parallel] C2_A4 seed=1027 done (29/100): runtime=299.3s n_rt=4,767 n_sub=20
2026-06-11 09:54:05,912 [INFO] [parallel] C2_A4 seed=1024 done (30/100): runtime=470.6s n_rt=5,416 n_sub=31
2026-06-11 09:55:21,849 [INFO] [parallel] C2_A4 seed=1032 done (31/100): runtime=168.2s n_rt=3,480 n_sub=19
2026-06-11 09:55:47,101 [INFO] [parallel] C2_A4 seed=1030 done (32/100): runtime=253.4s n_rt=5,214 n_sub=24
2026-06-11 09:56:42,390 [INFO] [parallel] C2_A4 seed=1035 done (33/100): runtime=200.0s n_rt=3,521 n_sub=20
2026-06-11 09:57:18,156 [INFO] [parallel] C2_A4 seed=1033 done (34/100): runtime=282.8s n_rt=4,911 n_sub=16
2026-06-11 09:57:37,285 [INFO] [parallel] C2_A4 seed=1037 done (35/100): runtime=210.8s n_rt=5,883 n_sub=37
2026-06-11 09:58:34,987 [INFO] [parallel] C2_A4 seed=1036 done (36/100): runtime=286.5s n_rt=5,239 n_sub=28
2026-06-11 09:59:26,433 [INFO] [parallel] C2_A4 seed=1034 done (37/100): runtime=385.0s n_rt=4,125 n_sub=20
2026-06-11 09:59:27,470 [INFO] [parallel] C2_A4 seed=1039 done (38/100): runtime=220.0s n_rt=4,315 n_sub=18
2026-06-11 09:59:43,822 [INFO] [parallel] C2_A4 seed=1038 done (39/100): runtime=261.5s n_rt=5,032 n_sub=13
2026-06-11 09:59:55,995 [INFO] [parallel] C2_A4 seed=1042 done (40/100): runtime=138.5s n_rt=2,604 n_sub=27
2026-06-11 10:01:18,795 [INFO] [parallel] C2_A4 seed=1041 done (41/100): runtime=240.1s n_rt=5,669 n_sub=31
2026-06-11 10:01:24,849 [INFO] [parallel] C2_A4 seed=1043 done (42/100): runtime=169.4s n_rt=5,280 n_sub=30
2026-06-11 10:01:26,068 [INFO] [parallel] C2_A4 seed=1040 done (43/100): runtime=283.2s n_rt=4,222 n_sub=31
2026-06-11 10:01:32,351 [INFO] [parallel] C2_A4 seed=1031 done (44/100): runtime=572.8s n_rt=4,655 n_sub=27
2026-06-11 10:03:26,766 [INFO] [parallel] C2_A4 seed=1045 done (45/100): runtime=238.8s n_rt=4,654 n_sub=32
2026-06-11 10:04:01,181 [INFO] [parallel] C2_A4 seed=1044 done (46/100): runtime=274.2s n_rt=5,826 n_sub=30
2026-06-11 10:04:43,114 [INFO] [parallel] C2_A4 seed=1047 done (47/100): runtime=286.6s n_rt=5,304 n_sub=27
2026-06-11 10:05:02,040 [INFO] [parallel] C2_A4 seed=1049 done (48/100): runtime=216.7s n_rt=5,195 n_sub=40
2026-06-11 10:05:36,129 [INFO] [parallel] C2_A4 seed=1051 done (49/100): runtime=243.0s n_rt=7,937 n_sub=45
2026-06-11 10:06:19,374 [INFO] [parallel] C2_A4 seed=1046 done (50/100): runtime=395.1s n_rt=4,530 n_sub=25
2026-06-11 10:06:23,545 [INFO] [parallel] C2_A4 seed=1052 done (51/100): runtime=176.4s n_rt=4,135 n_sub=17
2026-06-11 10:07:41,898 [INFO] [parallel] C2_A4 seed=1054 done (52/100): runtime=178.4s n_rt=4,368 n_sub=24
2026-06-11 10:08:22,649 [INFO] [parallel] C2_A4 seed=1050 done (53/100): runtime=416.3s n_rt=3,205 n_sub=21
2026-06-11 10:08:27,731 [INFO] [parallel] C2_A4 seed=1048 done (54/100): runtime=428.4s n_rt=5,771 n_sub=41
2026-06-11 10:08:58,454 [INFO] [parallel] C2_A4 seed=1053 done (55/100): runtime=296.7s n_rt=4,203 n_sub=25
2026-06-11 10:10:20,258 [INFO] [parallel] C2_A4 seed=1059 done (56/100): runtime=158.1s n_rt=2,377 n_sub=14
2026-06-11 10:10:26,674 [INFO] [parallel] C2_A4 seed=1056 done (57/100): runtime=290.1s n_rt=4,760 n_sub=17
2026-06-11 10:11:27,154 [INFO] [parallel] C2_A4 seed=1058 done (58/100): runtime=303.3s n_rt=3,211 n_sub=15
2026-06-11 10:11:57,015 [INFO] [parallel] C2_A4 seed=1055 done (59/100): runtime=414.6s n_rt=4,306 n_sub=24
2026-06-11 10:13:04,775 [INFO] [parallel] C2_A4 seed=1063 done (60/100): runtime=164.0s n_rt=5,275 n_sub=30
2026-06-11 10:13:12,040 [INFO] [parallel] C2_A4 seed=1062 done (61/100): runtime=253.2s n_rt=4,652 n_sub=14
2026-06-11 10:13:26,700 [INFO] [parallel] C2_A4 seed=1064 done (62/100): runtime=179.7s n_rt=3,427 n_sub=34
2026-06-11 10:13:29,210 [INFO] [parallel] C2_A4 seed=1057 done (63/100): runtime=429.3s n_rt=5,438 n_sub=18
2026-06-11 10:14:31,212 [INFO] [parallel] C2_A4 seed=1061 done (64/100): runtime=363.1s n_rt=3,695 n_sub=17
2026-06-11 10:14:33,705 [INFO] [parallel] C2_A4 seed=1065 done (65/100): runtime=186.1s n_rt=4,269 n_sub=19
2026-06-11 10:14:50,820 [INFO] [parallel] C2_A4 seed=1066 done (66/100): runtime=173.4s n_rt=4,718 n_sub=25
2026-06-11 10:16:11,901 [INFO] [parallel] C2_A4 seed=1069 done (67/100): runtime=164.9s n_rt=3,096 n_sub=20
2026-06-11 10:17:41,086 [INFO] [parallel] C2_A4 seed=1068 done (68/100): runtime=268.6s n_rt=4,366 n_sub=28
2026-06-11 10:17:56,281 [INFO] [parallel] C2_A4 seed=1070 done (69/100): runtime=266.8s n_rt=3,306 n_sub=12
2026-06-11 10:18:18,128 [INFO] [parallel] C2_A4 seed=1071 done (70/100): runtime=226.4s n_rt=6,049 n_sub=30
2026-06-11 10:18:47,862 [INFO] [parallel] C2_A4 seed=1067 done (71/100): runtime=342.7s n_rt=3,769 n_sub=12
2026-06-11 10:19:32,595 [INFO] [parallel] C2_A4 seed=1060 done (72/100): runtime=669.6s n_rt=3,167 n_sub=17
2026-06-11 10:19:53,382 [INFO] [parallel] C2_A4 seed=1074 done (73/100): runtime=220.7s n_rt=8,640 n_sub=35
2026-06-11 10:20:14,315 [INFO] [parallel] C2_A4 seed=1076 done (74/100): runtime=137.7s n_rt=3,497 n_sub=16
2026-06-11 10:20:45,691 [INFO] [parallel] C2_A4 seed=1073 done (75/100): runtime=354.6s n_rt=3,084 n_sub=15
2026-06-11 10:20:55,592 [INFO] [parallel] C2_A4 seed=1075 done (76/100): runtime=194.1s n_rt=4,255 n_sub=19
2026-06-11 10:22:38,132 [INFO] [parallel] C2_A4 seed=1077 done (77/100): runtime=259.5s n_rt=5,635 n_sub=29
2026-06-11 10:22:41,307 [INFO] [parallel] C2_A4 seed=1078 done (78/100): runtime=233.0s n_rt=4,190 n_sub=18
2026-06-11 10:22:49,804 [INFO] [parallel] C2_A4 seed=1079 done (79/100): runtime=196.7s n_rt=4,870 n_sub=25
2026-06-11 10:22:54,306 [INFO] [parallel] C2_A4 seed=1072 done (80/100): runtime=500.2s n_rt=4,507 n_sub=20
2026-06-11 10:23:27,415 [INFO] [parallel] C2_A4 seed=1082 done (81/100): runtime=161.3s n_rt=4,198 n_sub=27
2026-06-11 10:23:52,530 [INFO] [parallel] C2_A4 seed=1081 done (82/100): runtime=217.8s n_rt=3,749 n_sub=32
2026-06-11 10:25:22,859 [INFO] [parallel] C2_A4 seed=1085 done (83/100): runtime=161.1s n_rt=5,097 n_sub=22
2026-06-11 10:25:23,659 [INFO] [parallel] C2_A4 seed=1086 done (84/100): runtime=153.5s n_rt=3,622 n_sub=23
2026-06-11 10:26:18,368 [INFO] [parallel] C2_A4 seed=1080 done (85/100): runtime=384.5s n_rt=4,621 n_sub=22
2026-06-11 10:26:24,304 [INFO] [parallel] C2_A4 seed=1089 done (86/100): runtime=151.3s n_rt=5,115 n_sub=26
2026-06-11 10:26:59,842 [INFO] [parallel] C2_A4 seed=1087 done (87/100): runtime=244.9s n_rt=5,460 n_sub=30
2026-06-11 10:27:03,800 [INFO] [parallel] C2_A4 seed=1084 done (88/100): runtime=265.3s n_rt=3,835 n_sub=11
2026-06-11 10:28:13,319 [INFO] [parallel] C2_A4 seed=1083 done (89/100): runtime=437.2s n_rt=5,523 n_sub=28
2026-06-11 10:28:15,587 [INFO] [parallel] C2_A4 seed=1090 done (90/100): runtime=172.3s n_rt=4,020 n_sub=12
2026-06-11 10:29:50,923 [INFO] [parallel] C2_A4 seed=1094 done (91/100): runtime=170.7s n_rt=4,491 n_sub=15
2026-06-11 10:30:32,527 [INFO] [parallel] C2_A4 seed=1091 done (92/100): runtime=308.5s n_rt=3,615 n_sub=10
2026-06-11 10:31:14,418 [INFO] [parallel] C2_A4 seed=1097 done (93/100): runtime=178.3s n_rt=5,910 n_sub=22
2026-06-11 10:31:34,576 [INFO] [parallel] C2_A4 seed=1092 done (94/100): runtime=315.7s n_rt=5,595 n_sub=29
2026-06-11 10:31:37,241 [INFO] [parallel] C2_A4 seed=1095 done (95/100): runtime=273.0s n_rt=4,490 n_sub=30
2026-06-11 10:32:01,769 [INFO] [parallel] C2_A4 seed=1093 done (96/100): runtime=337.1s n_rt=5,105 n_sub=28
2026-06-11 10:32:50,299 [INFO] [parallel] C2_A4 seed=1098 done (97/100): runtime=179.1s n_rt=4,671 n_sub=16
2026-06-11 10:32:59,097 [INFO] [parallel] C2_A4 seed=1088 done (98/100): runtime=571.6s n_rt=2,650 n_sub=12
2026-06-11 10:33:15,700 [INFO] [parallel] C2_A4 seed=1096 done (99/100): runtime=302.2s n_rt=3,782 n_sub=19
2026-06-11 10:33:20,078 [INFO] [parallel] C2_A4 seed=1099 done (100/100): runtime=167.4s n_rt=4,601 n_sub=17
2026-06-11 10:33:20,116 [INFO] [parallel] cond=C2_A4 all done: total=3534.4s, throughput=0.03 trial/s
2026-06-11 10:33:20,117 [INFO] [parallel] cond=C3_A4 n_seeds=100 n_workers=8 out=/Users/hasegawayuito/Documents/GitHub/speculation-game-info/experiments/YH006_1/data/C3_A4
2026-06-11 10:36:32,855 [INFO] [parallel] C3_A4 seed=1000 done (1/100): runtime=190.7s n_rt=3,669 n_sub=58
2026-06-11 10:36:58,661 [INFO] [parallel] C3_A4 seed=1003 done (2/100): runtime=216.4s n_rt=4,224 n_sub=72
2026-06-11 10:37:00,686 [INFO] [parallel] C3_A4 seed=1007 done (3/100): runtime=218.2s n_rt=4,906 n_sub=63
2026-06-11 10:37:17,102 [INFO] [parallel] C3_A4 seed=1002 done (4/100): runtime=234.8s n_rt=4,808 n_sub=54
2026-06-11 10:38:44,422 [INFO] [parallel] C3_A4 seed=1004 done (5/100): runtime=322.1s n_rt=5,073 n_sub=54
2026-06-11 10:39:23,798 [INFO] [parallel] C3_A4 seed=1005 done (6/100): runtime=361.5s n_rt=5,241 n_sub=69
2026-06-11 10:39:38,612 [INFO] [parallel] C3_A4 seed=1009 done (7/100): runtime=159.5s n_rt=5,374 n_sub=55
2026-06-11 10:39:56,123 [INFO] [parallel] C3_A4 seed=1001 done (8/100): runtime=393.8s n_rt=5,099 n_sub=81
2026-06-11 10:39:57,527 [INFO] [parallel] C3_A4 seed=1010 done (9/100): runtime=176.4s n_rt=4,196 n_sub=55
2026-06-11 10:40:39,945 [INFO] [parallel] C3_A4 seed=1011 done (10/100): runtime=202.4s n_rt=4,670 n_sub=37
2026-06-11 10:41:18,964 [INFO] [parallel] C3_A4 seed=1008 done (11/100): runtime=285.7s n_rt=4,350 n_sub=73
2026-06-11 10:43:20,191 [INFO] [parallel] C3_A4 seed=1014 done (12/100): runtime=221.1s n_rt=5,309 n_sub=54
2026-06-11 10:43:32,552 [INFO] [parallel] C3_A4 seed=1016 done (13/100): runtime=214.5s n_rt=5,354 n_sub=49
2026-06-11 10:43:45,676 [INFO] [parallel] C3_A4 seed=1006 done (14/100): runtime=623.4s n_rt=4,402 n_sub=58
2026-06-11 10:43:51,095 [INFO] [parallel] C3_A4 seed=1013 done (15/100): runtime=266.5s n_rt=9,366 n_sub=58
2026-06-11 10:45:04,990 [INFO] [parallel] C3_A4 seed=1015 done (16/100): runtime=308.3s n_rt=5,449 n_sub=64
2026-06-11 10:46:42,571 [INFO] [parallel] C3_A4 seed=1018 done (17/100): runtime=323.1s n_rt=5,162 n_sub=76
2026-06-11 10:47:21,643 [INFO] [parallel] C3_A4 seed=1022 done (18/100): runtime=210.2s n_rt=4,136 n_sub=52
2026-06-11 10:47:34,929 [INFO] [parallel] C3_A4 seed=1020 done (19/100): runtime=241.7s n_rt=7,432 n_sub=84
2026-06-11 10:47:39,925 [INFO] [parallel] C3_A4 seed=1012 done (20/100): runtime=534.9s n_rt=6,226 n_sub=69
2026-06-11 10:48:10,789 [INFO] [parallel] C3_A4 seed=1017 done (21/100): runtime=450.4s n_rt=4,147 n_sub=66
2026-06-11 10:49:11,560 [INFO] [parallel] C3_A4 seed=1023 done (22/100): runtime=246.1s n_rt=4,923 n_sub=62
2026-06-11 10:49:58,097 [INFO] [parallel] C3_A4 seed=1025 done (23/100): runtime=156.1s n_rt=4,054 n_sub=62
2026-06-11 10:50:07,632 [INFO] [parallel] C3_A4 seed=1019 done (24/100): runtime=407.0s n_rt=4,687 n_sub=47
2026-06-11 10:51:11,231 [INFO] [parallel] C3_A4 seed=1027 done (25/100): runtime=210.8s n_rt=4,982 n_sub=46
2026-06-11 10:51:22,397 [INFO] [parallel] C3_A4 seed=1021 done (26/100): runtime=456.4s n_rt=3,260 n_sub=47
2026-06-11 10:53:19,682 [INFO] [parallel] C3_A4 seed=1026 done (27/100): runtime=344.1s n_rt=6,824 n_sub=68
2026-06-11 10:53:28,840 [INFO] [parallel] C3_A4 seed=1024 done (28/100): runtime=405.8s n_rt=4,611 n_sub=66
2026-06-11 10:53:35,319 [INFO] [parallel] C3_A4 seed=1030 done (29/100): runtime=216.5s n_rt=7,670 n_sub=68
2026-06-11 10:53:51,703 [INFO] [parallel] C3_A4 seed=1029 done (30/100): runtime=279.4s n_rt=7,687 n_sub=76
2026-06-11 10:54:02,193 [INFO] [parallel] C3_A4 seed=1028 done (31/100): runtime=350.8s n_rt=5,807 n_sub=75
2026-06-11 10:55:26,163 [INFO] [parallel] C3_A4 seed=1033 done (32/100): runtime=243.2s n_rt=6,174 n_sub=64
2026-06-11 10:56:13,084 [INFO] [parallel] C3_A4 seed=1032 done (33/100): runtime=301.5s n_rt=3,505 n_sub=48
2026-06-11 10:56:35,195 [INFO] [parallel] C3_A4 seed=1034 done (34/100): runtime=195.0s n_rt=5,200 n_sub=58
2026-06-11 10:56:42,409 [INFO] [parallel] C3_A4 seed=1035 done (35/100): runtime=193.1s n_rt=4,692 n_sub=67
2026-06-11 10:57:15,804 [INFO] [parallel] C3_A4 seed=1038 done (36/100): runtime=193.2s n_rt=4,437 n_sub=57
2026-06-11 10:58:16,932 [INFO] [parallel] C3_A4 seed=1031 done (37/100): runtime=488.9s n_rt=4,237 n_sub=46
2026-06-11 10:58:23,589 [INFO] [parallel] C3_A4 seed=1039 done (38/100): runtime=177.0s n_rt=4,713 n_sub=64
2026-06-11 11:01:10,735 [INFO] [parallel] C3_A4 seed=1041 done (39/100): runtime=274.9s n_rt=7,158 n_sub=74
2026-06-11 11:01:13,080 [INFO] [parallel] C3_A4 seed=1040 done (40/100): runtime=299.5s n_rt=5,579 n_sub=58
2026-06-11 11:01:16,886 [INFO] [parallel] C3_A4 seed=1037 done (41/100): runtime=444.7s n_rt=4,881 n_sub=60
2026-06-11 11:01:34,919 [INFO] [parallel] C3_A4 seed=1045 done (42/100): runtime=190.7s n_rt=6,833 n_sub=67
2026-06-11 11:01:40,243 [INFO] [parallel] C3_A4 seed=1043 done (43/100): runtime=264.0s n_rt=4,303 n_sub=56
2026-06-11 11:01:44,997 [INFO] [parallel] C3_A4 seed=1044 done (44/100): runtime=207.7s n_rt=3,862 n_sub=35
2026-06-11 11:02:00,475 [INFO] [parallel] C3_A4 seed=1042 done (45/100): runtime=317.4s n_rt=6,264 n_sub=73
2026-06-11 11:03:00,384 [INFO] [parallel] C3_A4 seed=1036 done (46/100): runtime=564.4s n_rt=5,652 n_sub=69
2026-06-11 11:04:41,321 [INFO] [parallel] C3_A4 seed=1051 done (47/100): runtime=175.8s n_rt=5,036 n_sub=77
2026-06-11 11:05:29,371 [INFO] [parallel] C3_A4 seed=1046 done (48/100): runtime=258.2s n_rt=4,577 n_sub=62
2026-06-11 11:06:27,284 [INFO] [parallel] C3_A4 seed=1053 done (49/100): runtime=206.4s n_rt=5,327 n_sub=67
2026-06-11 11:07:15,323 [INFO] [parallel] C3_A4 seed=1052 done (50/100): runtime=314.4s n_rt=5,354 n_sub=61
2026-06-11 11:07:27,483 [INFO] [parallel] C3_A4 seed=1054 done (51/100): runtime=165.8s n_rt=3,331 n_sub=34
2026-06-11 11:07:37,733 [INFO] [parallel] C3_A4 seed=1047 done (52/100): runtime=384.1s n_rt=6,191 n_sub=71
2026-06-11 11:08:51,562 [INFO] [parallel] C3_A4 seed=1049 done (53/100): runtime=436.2s n_rt=4,520 n_sub=60
2026-06-11 11:08:55,875 [INFO] [parallel] C3_A4 seed=1056 done (54/100): runtime=148.2s n_rt=4,597 n_sub=51
2026-06-11 11:10:05,274 [INFO] [parallel] C3_A4 seed=1048 done (55/100): runtime=528.0s n_rt=4,253 n_sub=57
2026-06-11 11:10:24,376 [INFO] [parallel] C3_A4 seed=1055 done (56/100): runtime=294.5s n_rt=5,661 n_sub=81
2026-06-11 11:10:34,925 [INFO] [parallel] C3_A4 seed=1050 done (57/100): runtime=534.4s n_rt=3,450 n_sub=48
2026-06-11 11:10:50,663 [INFO] [parallel] C3_A4 seed=1058 done (58/100): runtime=202.8s n_rt=3,598 n_sub=42
2026-06-11 11:10:51,170 [INFO] [parallel] C3_A4 seed=1059 done (59/100): runtime=193.0s n_rt=4,225 n_sub=67
2026-06-11 11:13:13,504 [INFO] [parallel] C3_A4 seed=1061 done (60/100): runtime=257.3s n_rt=3,605 n_sub=57
2026-06-11 11:13:20,997 [INFO] [parallel] C3_A4 seed=1063 done (61/100): runtime=176.2s n_rt=4,994 n_sub=66
2026-06-11 11:14:35,182 [INFO] [parallel] C3_A4 seed=1057 done (62/100): runtime=439.5s n_rt=4,287 n_sub=50
2026-06-11 11:15:08,333 [INFO] [parallel] C3_A4 seed=1066 done (63/100): runtime=256.6s n_rt=6,351 n_sub=80
2026-06-11 11:15:45,012 [INFO] [parallel] C3_A4 seed=1062 done (64/100): runtime=339.3s n_rt=4,144 n_sub=61
2026-06-11 11:16:21,087 [INFO] [parallel] C3_A4 seed=1068 done (65/100): runtime=179.7s n_rt=4,267 n_sub=49
2026-06-11 11:16:25,566 [INFO] [parallel] C3_A4 seed=1065 done (66/100): runtime=334.4s n_rt=5,019 n_sub=62
2026-06-11 11:18:26,850 [INFO] [parallel] C3_A4 seed=1067 done (67/100): runtime=313.0s n_rt=3,723 n_sub=39
2026-06-11 11:19:06,745 [INFO] [parallel] C3_A4 seed=1070 done (68/100): runtime=237.9s n_rt=4,899 n_sub=62
2026-06-11 11:19:34,121 [INFO] [parallel] C3_A4 seed=1073 done (69/100): runtime=188.0s n_rt=5,363 n_sub=67
2026-06-11 11:19:58,655 [INFO] [parallel] C3_A4 seed=1069 done (70/100): runtime=323.1s n_rt=4,304 n_sub=47
2026-06-11 11:20:05,857 [INFO] [parallel] C3_A4 seed=1071 done (71/100): runtime=260.4s n_rt=5,320 n_sub=71
2026-06-11 11:21:23,039 [INFO] [parallel] C3_A4 seed=1072 done (72/100): runtime=301.3s n_rt=7,600 n_sub=101
2026-06-11 11:22:19,455 [INFO] [parallel] C3_A4 seed=1074 done (73/100): runtime=232.2s n_rt=4,151 n_sub=45
2026-06-11 11:22:36,108 [INFO] [parallel] C3_A4 seed=1064 done (74/100): runtime=720.7s n_rt=5,102 n_sub=82
2026-06-11 11:22:46,803 [INFO] [parallel] C3_A4 seed=1076 done (75/100): runtime=192.3s n_rt=3,884 n_sub=52
2026-06-11 11:22:53,619 [INFO] [parallel] C3_A4 seed=1075 done (76/100): runtime=226.4s n_rt=5,137 n_sub=66
2026-06-11 11:23:48,177 [INFO] [parallel] C3_A4 seed=1077 done (77/100): runtime=229.2s n_rt=3,412 n_sub=49
2026-06-11 11:24:40,220 [INFO] [parallel] C3_A4 seed=1060 done (78/100): runtime=948.2s n_rt=4,507 n_sub=67
2026-06-11 11:27:48,742 [INFO] [parallel] C3_A4 seed=1085 done (79/100): runtime=188.1s n_rt=5,039 n_sub=76
2026-06-11 11:27:55,418 [INFO] [parallel] C3_A4 seed=1079 done (80/100): runtime=391.9s n_rt=5,337 n_sub=65
2026-06-11 11:29:03,809 [INFO] [parallel] C3_A4 seed=1082 done (81/100): runtime=376.3s n_rt=7,478 n_sub=78
2026-06-11 11:29:09,711 [INFO] [parallel] C3_A4 seed=1080 done (82/100): runtime=409.8s n_rt=4,963 n_sub=64
2026-06-11 11:30:44,396 [INFO] [parallel] C3_A4 seed=1084 done (83/100): runtime=415.6s n_rt=6,106 n_sub=71
2026-06-11 11:31:02,118 [INFO] [parallel] C3_A4 seed=1081 done (84/100): runtime=505.5s n_rt=4,441 n_sub=68
2026-06-11 11:31:06,917 [INFO] [parallel] C3_A4 seed=1083 done (85/100): runtime=492.9s n_rt=4,406 n_sub=69
2026-06-11 11:31:23,718 [INFO] [parallel] C3_A4 seed=1086 done (86/100): runtime=214.3s n_rt=7,268 n_sub=80
2026-06-11 11:33:20,097 [INFO] [parallel] C3_A4 seed=1089 done (87/100): runtime=249.9s n_rt=5,030 n_sub=55
2026-06-11 11:33:38,043 [INFO] [parallel] C3_A4 seed=1078 done (88/100): runtime=811.8s n_rt=3,595 n_sub=64
2026-06-11 11:35:36,898 [INFO] [parallel] C3_A4 seed=1091 done (89/100): runtime=274.3s n_rt=5,258 n_sub=55
2026-06-11 11:36:18,077 [INFO] [parallel] C3_A4 seed=1092 done (90/100): runtime=310.6s n_rt=5,632 n_sub=71
2026-06-11 11:36:18,799 [INFO] [parallel] C3_A4 seed=1094 done (91/100): runtime=178.2s n_rt=4,512 n_sub=61
